Timestamp,Which Dog?,Indicator Value,Time-Out,Time-In,Urine,Shit,Notes
3/11/2022 21:15:22,Braonin,2_Braonin,9:08:00 PM,9:15:00 PM,1_Braonin,0_Braonin,
3/12/2022 13:25:11,Braonin,1_Braonin,12:23:00 PM,12:40:00 AM,1_Braonin,0_Braonin,Delete if duplicate near similar time 
3/12/2022 13:34:58,Both,"1_Braonin, 1_Siobhan",1:25:00 AM,1:34:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 0_Siobhan",
3/12/2022 17:13:19,Braonin,1_Braonin,5:00:00 PM,5:13:00 PM,1_Braonin,0_Braonin,
3/12/2022 17:59:02,Siobhan,1_Siobhan,5:45:00 PM,5:58:00 PM,1_Siobhan,1_Siobhan,Sm shit 
3/13/2022 1:46:27,Braonin,1_Braonin,1:00:00 AM,1:16:00 AM,1_Braonin,1_Braonin,"Don’t forget a time earlier around 7 that I played with B, -x, and sio went on run earlier today too xx"
3/13/2022 14:39:18,Both,"1_Braonin, 1_Siobhan",2:25:00 PM,2:38:00 PM,"1_Braonin, 1_Siobhan","1_Braonin, 1_Siobhan","Also B went out for 16 min before this outing and got some socialization. Before that, both went out the morning. Double XX for sio -x for B"
3/13/2022 23:33:02,Both,"1_Braonin, 1_Siobhan",11:10:00 PM,11:24:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
3/15/2022 0:05:42,Braonin,1_Braonin,11:52:00 PM,11:59:00 PM,1_Braonin,1_Braonin,"Also B earlier, piss only at 7. Both before that. Double sio B piss only, before that double suc. "
3/15/2022 14:25:12,Braonin,1_Braonin,2:19:00 PM,2:25:00 PM,1_Braonin,0_Braonin,Also braonin short play last trip. Only pee. 20 min at 12. Both before that. Sio double B.  Morning B both at 9
3/15/2022 14:37:05,Both,"1_Braonin, 1_Siobhan",2:28:00 PM,2:36:00 PM,"0_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
3/15/2022 18:35:09,Braonin,1_Braonin,6:26:00 PM,6:37:00 PM,0_Braonin,1_Braonin,Play then potty. After two solo no double success 
3/15/2022 21:46:58,Braonin,1_Braonin,9:20:00 PM,9:40:00 PM,1_Braonin,0_Braonin,Sio right after double suc 
3/16/2022 12:06:15,Both,"2_Braonin, 1_Siobhan",11:00:00 AM,11:15:00 AM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",also B time earlier this morning at 10-10:15 -X
3/16/2022 14:25:42,Both,"1_Braonin, 1_Siobhan",2:00:00 PM,2:17:00 PM,"0_Braonin, 1_Siobhan","0_Braonin, 0_Siobhan","took B out earlier about hour or so back, spotting pissonly (PS add variable for spotting)"
3/24/2022 20:13:04,Braonin,2_Braonin,6:30:00 PM,6:41:00 PM,1_Braonin,1_Braonin,Sio right after. Only pee for her
3/24/2022 22:46:49,Both,"2_Braonin, 0_Siobhan",10:39:00 PM,10:50:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
